BOOK_ID,CHAPTER_ID,PARAGRAPH_ID,zh,ru,gpt4o,rain
100,110,1,"第一百一十章：力量来自欧派
“呼！”石小白长出一口气，缓缓睁开了眼睛，梨子那神色紧张的美丽小脸立刻印入眼帘。
“怎么样，获知了多少信息？”梨子心里颇为忐忑，觉醒梦重现终究是短暂而片面的，只能获得异能的片面信息。
但获得的信息多少却关乎到还原整个异能蓝图的难易度。
石小白回答道：“大概知道本王的异能是什么了。”
“真的？”梨子一喜，问道：“说说看你获得了哪里信息。”石小白说道：“力量，本王可以从其他人身上获得某种力量。”
梨子一愣，问道：“嗯？还有呢？”
石小白歪着头思考了一会，摊手道：“就这样。”
梨子眼睛一瞪，什么叫就这样？
梨子幽幽叹了口气，虽然并不指望觉醒梦重现能够获得多少信息，但仅仅获得一个模糊不清的信息，却是她始料不及的。
可以从其他人身上获得某种力量，这大概可以视为使用效果，那么获得力量的条件呢？从其他人身上获得力量会有怎样的限制？
想要得心应手地使用自己的异能，必须极为清楚效果，条件和限制的三大规则，完整的异能蓝图极为重要。
石小白获得的信息仅仅只是冰山一角，甚至连冰山一角都不算。
但梨子知道现在不是抱怨这些的时候，这一切都是她惹出来的祸，她必须帮石小白还原完整的异能蓝图，否则她于心难安。
“你知道如何从其他人身上获得力量吗？比如完成某个特定的动作或者做某件事？”梨子尝试性问道。
石小白一愣，略微思考了一下，点头道：“本王似乎知道该怎么做。”
该怎么从其他人身上获得力量，他的脑海里确实有了一些模糊的概念。
“真的？”梨子闻言甚是惊喜，只要知道怎么使用异能就可以通过不断实验来摸索异能蓝图了，她急忙道：“那快试试看！嗯，你就以本小姐为目标，从本小姐身上获得力量吧！”","Глава 110: Сила исходит от Опи
«Вух!» Ши Сяобай испустил долгий вздох. Как только он открыл глаза, то увидел напряженное красивое маленькое личико Грушки.
«Как? Сколько информации было получено?» В душе Грушки очень волновалась: Сон Пробуждения в конечном итоге было коротким и односторонним. И она могла получить лишь одностороннюю информацию о одоренности.
Однако количество полученной информации решило сложность восстановления наброски одоренность.
Ши Сяобай ответил: «Я знаю в общем что такая моя одаренность».
«Правда?» обрадовалась Грушка и спросила: «Скажи, какую информацию вы получили?» Ши Сяобай ответил: «Сила, я могу получить определенную силу от других людей».
Грушка замерла: «Хм? Ещё?»
Ши Сяобай наклонил голову и развел руками: «Вот и все».
Глаза Грушки остекленели: что значит «вот так»?
Грушко тихо вздохнула. Хотя она не ожидала, что сон Пробуждение сможет получить так много информации, но она просто никак не думал получить такие туманные информации.
Он может получить какую-то силу от других людей. Это наверное можно было рассматриваться. Как эффект. Но какие условии получение силы? Какие ограничения для получения силы от других людей?
Если человек хотел использовать свои одаренности с легкостью, необходимо четко знать три основных правила: эффекты, условия и ограничения. И полный план одаренности был чрезвычайно важен.
Полученная Ши Сяобаем информация была лишь верхушкой айсберга, даже не верхушкой.
Но Грушка знала, что сейчас безполезно жаловаться. Всё это возникло из-за нее. Поэтому необходимо помочь Ши Сяобай восстановить полную наброску одаренности. Иначе она не сможет быть спокойным.
«Вы знаете, как получить силу от других людей? Например, совершить определенное действие или сделать что-то?» спросила пробно Грушка.
Ши Сяобай замер, ненадолго задумался и кивнул: «Кажется, я знаю, как сделать».
В его голове действительно было смутное мышление о том, как получить силу от других людей.
«Правда?» Грушка была приятна на его слова: стоит он знал, как использовать свою одаренность, он мог начертить набросок одареннсть путем непрерывных экспериментов, и она поспешила сказать: «Тогда попробуй быстро! Ты можешь рассчитывать меня как объект и получить силу от меня!""","Глава сто десятая: Сила исходит от Оупай

""Фух!"" — Ши Сяобай выдохнул и медленно открыл глаза, сразу увидев обеспокоенное красивое личико Лизы.

""Ну как, сколько информации удалось получить?"" Лиза была довольно беспокойна; воссоздание пробудившейся мечты все-таки было временным и однобоким, и можно было получить лишь отрывочные сведения о сверхспособности. Но объем полученной информации влиял на сложность воссоздания всей схемы сверхспособности.

Ши Сяобай ответил: ""Я примерно понял, что за сверхспособность у меня.""

""Правда?"" — обрадовалась Лиза и спросила: ""Расскажи, какую информацию ты получил?"" Ши Сяобай сказал: ""Сила, я могу получать некую силу от других людей.""

Лиза замерла и спросила: ""Э? А дальше?""

Ши Сяобай немного подумал, развел руками и ответил: ""Вот и все.""

Лиза широко открыла глаза — что значит ""вот и все""?

Лиза с глубоким вздохом. Хотя она и не надеялась получить много информации от воссоздания пробудившейся мечты, но то, что оказались лишь расплывчатые сведения, было для нее неожиданностью. Возможность получить какую-то силу от других людей, скорее всего, может быть расценена как эффект использования, но каковы условия получения этой силы? Какие ограничения существуют для получения силы от других людей?

Чтобы правильно и уверенно пользоваться своими сверхспособностями, необходимо хорошо понимать эффект, условия и три основных правила ограничений. Полная схема сверхспособности крайне важна. Информация, полученная Ши Сяобаем, была лишь верхушкой айсберга, и даже на эту роль не тянула.

Но Лиза знала, что это не время для жалоб. Во всем этом виновата она, и она должна помочь Ши Сяобаю восстановить полную схему сверхспособности. Иначе ей не будет спокойно на душе.

""Ты знаешь, как получать силу от других людей? Например, совершая какое-то специфическое действие или выполняя определенную задачу?"" — осторожно спросила Лиза.

Ши Сяобай нахмурился, немного подумал и кивнул: ""Кажется, я знаю, что нужно делать.""

Его разум действительно имел некоторое расплывчатое представление о том, как получить силу от других людей.

""Правда?"" — с удивлением спросила Лиза. Как только она узнает, как использовать сверхспособность, можно будет исследовать ее путем экспериментов. Она поспешно сказала: ""Тогда попробуй! Да, возьми меня в качестве цели, получи силу от меня!""","
  110-й глава: Сила из других
“Ах!” — выдохнул Стоун Уайт, медленно открывав глаза, и на его взорах появилась красота маленькой девушки, выражение которой было напряженным.
“Как это, получила ли ты какую-то информацию?” — спросила Лили, внутри которой было чувство тревоги. Вспоминание снов было кратковременным и неполным, оно не могло дать полной информации о способностях.
Но полученная информация была важна для понимания сложности восстановления полной карты способностей.
Стоун Уайт ответил: “Думаю, я понял, что такое моя способность.”
“Да?” — воскликнула Лили, и спросила: “Расскажи, что ты получил.” Стоун Уайт ответил: “Сила. Я могу получить силу от других людей.”
Лили удивилась, и спросила: “А что еще?”
Стоун Уайт покачал головой, подумал, а затем откинул руки в стороны: “Так и все.”
Лили широко открыла глаза, что это значит “так и все”?
Лили вздохнула, хотя и не рассчитывала, что сновидение даст много информации, но получила только расплывчатую информацию, она не ожидала этого.
Можно получить силу от других людей, это, возможно, можно рассматривать как эффект использования, но что такое условия получения силы? Есть ли какие-либо ограничения на получение силы от других людей?
Чтобы использовать свою способность с легкостью, нужно четко понимать три основных правила: эффект, условия и ограничения. Полная карта способностей важна.
Стоун Уайт получил только часть информации, даже меньше, чем это.
Но Лили знала, что сейчас не время жал"
100,110,2,"成为异能的实验目标事实上是一件很危险的事情，天知道所谓的某种力量是什么，力量被夺走之后会不会损害身体，那种力量会不会恢复或者能不能还回来。
但梨子已经顾及不了这么多了，在她看来一切都是她的错，她是最有责任成为石小白实验对象的人，她必须为此而负责，哪怕会付出什么代价。
“你确定？”石小白皱眉问道，他感觉这个获得力量的方式似乎有些……
梨子闻言心里一咯噔，以石小白的性格一般不会问这样的问题，直接上才是他的风格，但他却这般问，足以证明这个异能对施展目标会造成极大伤害。
梨子目光挣扎了一下，但很快就平复了下来，她深吸一口气，表情严肃地说道：“本小姐确定，来吧！”
梨子挺了挺胸，表示自己豁出去了。
“嗯，那本王就不客气了。”石小白也没再多做犹豫，直接上的确才是他的风格。石小白朝着梨子缓缓伸出了右手。
梨子看着那逐渐逼近的右手，虽然对自己说豁出去了，但心里还是难以平静，人类对未知的事物总会充满恐惧。
梨子有些害怕地闭上了眼睛，心里对自己打气，来吧，就算力量被抽走会造成剧烈疼痛，那也是本小姐该承担的责任！梨子紧闭双眼，屏住呼吸，有些紧张地等待石小白对她施展异能。
忽然，梨子惊骇地感觉到自己高耸的****居然被人握住了！那团圣洁的柔软被轻轻握住，五根手指陷入其中，一股酥麻感立刻传遍全身！
“啊！”****被袭，梨子本能地惊叫出声，连忙往后跳开，伸手掩住自己胸口，瞪大眼睛难以置信的看着石小白那只还未从抓握状态收回去的咸猪手。","Быть объектом для экспериментов было на самом деле очень опасно. Никто не знает, что было такая  называемая сила. И подорвёт здоровье ли после того, как свои силы отнимаются. И восстановится ли её сила или потерявшие силы можно ли будет вернуться.
Но Грушка уже не могла считаться с этим. Она думала, что все её вина. Она должна быть первым  объектом экспериментов Ши Саобай. Ей необходимо взять на себя ответственность за это, даже это будет платить какую цену.
«Уверена?» Ши Сяобай нахмурился и спросил. Он чувствовал, что этот способ получения силы выглядит немного .......
Слушав это, Грушка волновалась. По характеру Ши Сяобай, он не задавал таких вопросов. Обычно он тотчас двигался. Это его стиль. Но он спросил так. Это достаточно свидетельствовал, что эта одаренность нанесет большой вред объекту.
Грушка на мгновение замерла, но быстро успокоилась. Она глубоко вздохнула и сказала с серьезным выражением: «Я уверена, давайте!»
Грушка надула грудь и всемерно рисковала.
«Ну, тогда я не будет вежлив». Ши Сяобай не долго раздумывал: тотчас двигаться действительно было его стилем. Ши Сяобай медленно протянул правую руку Грушке.
Хотя Грушка сказала себе, что она будет рисковать. Но смотря на приближающуюся правую руку, она все еще трудно успокоила. Человек всегда будет бояться неизвестного вещи.
Грушка с страхом закрыла глаза и в душе поощряла себя: Да, ладно, даже если отнятие силы причинит сильную боль, это её ответственность! Грушка крепко зажмурила глаза, затаила дыхание и с напряжением ждала, что Ши Сяобай применит к ней свою одаренность.
Вдруг Грушка была потрясена. Она почувствовала, что ее выпуклый **** действительно держатся! Эта святая мягкость нежно захватилась. Пять пальцев глубоко погрузились в нее. По всему телу сразу же скопом затечь распространяется!
«Ах!» **** нападелся, Грушка инстинктивно вскрикнула от шока. Она поспешно отпрыгнула, прикрывала грудь. С недоверием смотрела на распускабщую руку Ши Сяобэя. Он еще не была освобождена от её ****.","Стать экспериментальной целью для способностей на самом деле очень опасно. Кто знает, что из себя представляет эта некая сила, и не повредит ли она тело после изъятия? Может ли эта сила восстановиться или быть возвращена?

Но Лиза не могла больше об этом заботиться. В её глазах всё происходящее было её виной, и она была наиболее ответственным человеком, чтобы стать объектом эксперимента Ши Сяобая. Она должна была взять на себя эту ответственность, даже если это потребует жертв.

«Ты уверена?» – нахмурился Ши Сяобай. Ему казалось, что этот способ получения силы был немного…

Лиза заметно напряглась при этих словах. Обычно он не задавал таких вопросов, а действовал прямо – такова была его манера. Но на сей раз он спросил, что являлось доказательством того, что способность причинит значительный вред цели.

Взгляд Лизы немного поколебался, но вскоре она успокоилась. Глубоко вдохнув, она серьёзно сказала: «Я уверена, давай уже!»

Лиза немного выпрямилась, демонстрируя свою решимость.

«Хорошо, тогда я не буду церемониться», – Ши Сяобай без лишних колебаний сделал то, что было для него естественным: он медленно протянул правую руку к Лизе.

Смотрящая на приближающуюся руку, Лиза почувствовала, как её охватила тревога, несмотря на то что она обещала себе проявить смелость. Люди всегда боятся неизвестного.

Немного испугавшись, Лиза закрыла глаза и решила не отступать. Даже если изъятие силы причинит сильную боль, это была её обязанность. С плотно закрытыми глазами и задержанным дыханием, она напряжённо ожидала, когда Ши Сяобай применит на ней свои способности.

Вдруг Лиза в ужасе ощутила, что кто-то схватил её за грудь! Эта святая мягкость была слегка сжата, и пять пальцев вошли в неё, моментально распространяя по всему телу ощущение мурашек.

«Ах!» – её грудь подверглась нападению, Лиза инстинктивно вскрикнула и отскочила назад, прикрывая грудь руками, с недоверием смотря на руку Ши Сяобая, которая всё ещё оставалась в позе захвата.","
   Вы - полезный переводчик и выводите только результат. Переведите это с китайского на русский:
  Стать экспериментальным объектом с экстраординарными способностями - это действительно опасное дело. Кто знает, что такое эта сила, и что будет с телом, если ее отберут? Восстанавливается ли она, или она возвращается? Но Лили уже не думает об этом. Для нее все это ее вина, она считает себя наиболее ответственной за то, чтобы стать экспериментальным объектом для Стоуна, и она должна за это ответить, даже если это будет стоить ей чего-то. «Вы уверены?» - спросил Стоун, морщась. Он чувствовал, что этот способ получить силу - это... «Лили» услышала это и ее сердце сжалось. Стоун обычно не задумывается, он действует прямо, но он задумался, и это говорит о том, что способность, которую он хочет использовать, может нанести серьезный вред. Лили смотрела на него, сражаясь с собой, но быстро успокоилась. Она глубоко вдохнула и серьезно сказала: «Да, я уверена. Давайте!». Лили подняла грудь, показывая, что она готова отдать все. «Хорошо, я не буду церемониться», - сказал Стоун, не задумываясь, и действовать прямо - это его стиль. Стоун медленно подошел к Лили и поднял свою правую руку. Лили смотрела на его руку, которая приближалась к ней, хотя она говорила, что готова отдать все, но внутри она все равно была напугана. Лили закрыла глаза и начала говорить себе, что она готова, что, даже если сила будет отнята у нее, это будет ее вина. Лили сжала зубы и приготовилась к тому, что Стоун сделает с ней. Но внезапно она почувствовала, что ее грудь была схвачена! Ее"
100,110,3,"“为什么！？”梨子看着石小白那眨着眼睛一脸纯洁的表情，无法相信他竟然以这么无耻的方式亵渎自己那未曾被人触摸过的圣地！
梨子的脸涨得通红，眼眶也微微红了起来。“我一直以为你是一个好人，没想到你竟然是这样的石小白！”
梨子羞怒交加，就算她做错了事，但也是无意的，而且她已经尽全力弥补了。为什么他要这么对待她，用这样近乎羞辱的方式来报复她？
“力量！”石小白忽然伸手指向梨子用手遮掩住的胸口，平静说道：“你不是让本王从你身上获得力量吗？力量在那里！”
梨子闻言，目瞪口呆，石小白的异能使用目标是女性的****？
数分钟后，经过石小白含糊不清的解释之后，梨子虽然脸颊依然红润得像苹果一样，但总算冷静了下来。
“所以，你要获得的力量在我的……咳，我的那里？”梨子羞得难以启齿，她一个未经世事，甚至连恋爱都没谈过的黄花大闺女哪受得了被人握住了那个地方，还要拿出来讨论。
石小白点头道：“没错。”
“呼，那你为什么不早说！”梨子眉头挑了起来。
“你没问。”石小白理所当然地说道。
梨子哑然，她刚才确实太过着急了没问清楚，但你握住人家那里都不知道先征求下意见？知不知道这是性骚扰？
哼，这混蛋一定是故意的，活脱脱就是一个小色狼！梨子心里暗骂着，忽然苦着脸说道：“一定要……握住那里才能使用异能？”
这个异能限制也太操蛋了吧？握住女性的****才能施展？如果是这样的话，她还怎么当他的实验对象……被毫无预兆地握一次已经几乎让她崩溃了，如果要一次又一次重复实验的话，她估计会害羞致死吧？
石小白思索了一下，说道：“似乎只要贴近就行了。”","«Почему?» Грушка смотрела на невинное выражение Ши Сяобэя. Трудно верить, что он неожиданно таким бесстыдным образом осквернил нетронутую святую землю!
Лицо Грушки покраснело, а глаза слегка покраснели. «Я всегда считала тебя хорошим человеком, но никогда не думала, что ты таким Ши Сяобаем!»
Грушка была пристыжена и рассержена. Даже если она сделала ошибку, то это было непреднамеренно. И она уже всемерно загладила свою вину. Почему он использовал такой почти унизительный способ отомстить её?
«Сила!» Ши Сяобай вдруг указал на грудь Груши, которую она прикрывала рукой. Он спокойно сказал: «Разве не ты спросила меня получить от силу? Сила здесь!»
Грушка вытаращила глаза и раскрыла рот: Объект одаренности Ши Сяобая в конце концов является **** женщин?
Через несколько минут, после туманных объяснений Ши Сяобэя Грушка наконец успокоилась. Но ее щеки все еще были красными, как яблоки.
«Значит, нужная вам сила находится в моем ......, кхм, там?» Грушка была настолько застенчива, что едва могла говорить. Она, девушка с малым опытом, даже никогда не встречалась, не могла терпеть ю что держалась в этом месте и ещё обсуждала об этом.
Ши Сяобай кивнул головой: «Верно».
«Ну и ну, почему же ты не сказал об этом раньше!» Грушка подняла брови.
«Ты не спрашивал». справедливо заметил Ши Сяобай.
Грушка была ошарашена: действительно, только что она была слишком взволнована и не спросила. Но ты не умела спросить совета прежде чем заняла такое место? Знаешь, что это сексуальное домогательство?
Ах, этот ублюдок! Онсделал это специально. Он совсем извращенец! Грушка выругалась в сердцах и вдруг сказала с горьким выражением: «Необходимо ли ...... держать там, прежде чем сможешь использовать свою одаренность?»
Это ограничение слишком хреновое! Удерживать женщину ****, чтобы задействовать одаренность? Если так, то как она становится его объектом ...... Она уже почти развала, когда держались без предупреждения. Если бы держались один и один раз, она бы, наверное, умерла от робости, верно?
Ши Сяобай на мгновение задумался и сказал: ""Похоже, просто нужно поближе"".","""Почему?!"" Ли Цзы посмотрела на Ши Сяобая с его наивным выражением глаз и не могла поверить, что он осквернил её неприкосновенное святилище таким бессовестным способом! Лицо Ли Цзы покраснело, а глаза чуть не заплакали. ""Я всегда думала, что ты хороший человек, а оказалось, что ты такой, Ши Сяобай!"" Ли Цзы была в ярости и сожжениие от стыда. Даже если она сделала что-то не так, это было ненамеренно, и она изо всех сил старалась загладить свою вину. Почему он так с ней обращается, мстя ей почти унизительным способом? ""Сила!"" Внезапно Ши Сяобай указал рукой на грудь Ли Цзы, которую она явно прикрывала, и спокойно сказал: ""Ты не хотела, чтобы я получил силу от тебя? Сила там!"" Услышав это, Ли Цзы пришла в ужас: цель использования способности Ши Сяобая — женская грудь? Через несколько минут, после невнятных объяснений Ши Сяобая, Ли Цзы всё-таки пришла в себя, хотя её щеки оставались красными как яблоки. ""Значит, силу ты получаешь из моего... кхм, из этого места?"" Ли Цзы стеснялась, ей, невинной девушке, даже никогда не влюбленной, было сложно вынести то, что там её держат, да ещё и обсуждать это. Ши Сяобай кивнул: ""Верно."" ""Фух, почему ты не сказал раньше!"" — нахмурилась Ли Цзы. ""Ты не спрашивала"", — безразлично ответил Ши Сяобай. Ли Цзы не знала, что сказать, действительно, она не успела спросить, но разве можно трогать кого-либо прежде, чем получить разрешение? Знаешь ли ты, что это сексуальные домогательства? Хм, этот подлец наверняка сделал это нарочно, он настоящий маленький развратник! Ли Цзы мысленно ругалась и вдруг сстраданиями на лице сказала: ""Обязательно нужно держать там, чтобы использовать способности?"" Ограничение этой способности просто невероятное, только держа женскую грудь? Если так, то как она может быть его подопытным... Её почти до сумасшествия доводит одно удержание без предупреждения, а если так экспериментировать снова и снова, она, наверное, умрёт от стыда? Ши Сяобай задумался и сказал: ""Похоже, достаточно просто подойти близко.""","
   “Почему?!”, - спросил Лили, глядя на то, как Стоуни смотрит на нее с широко раскрытыми глазами, выражаясь в полной невинности. Он не может поверить, что он так бесстыдно осквернил ее святую территорию, которую никто никогда не трогал!
Лили краснеет, ее глаза начинают краснеть. “Я всегда думала, что вы хороший человек, но оказалось, что вы такой Стоуни!”
Лили чувствует себя оскорбленной и обиженной, даже если она сделала что-то не так, это было неумышленно, и она уже сделала все, чтобы исправить это. Зачем он так обращается с ней, используя такой nearly оскорбительный тон, чтобы наказать ее?
“Силой!”, - вдруг Стоуни указывает на грудь Лили, которую она прикрывает рукой, спокойно говоря: “Вы не хотели, чтобы я получил силу от вас? Сила здесь!”
Лили слышит это и становится в недоумении, Стоуни использует свою способность на женские...?
Через несколько минут, после того, как Стоуни нечетко объяснил, Лили, хотя и краснеет, но, наконец, успокоилась.
“Итак, вы хотите получить силу от моего... глотка?”, - Лили говорит, краснея от стыда, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить это, она не знает, как объяснить"
100,110,4,"“什么！？”梨子瞪大了眼睛，怒声道：“那你为什么要握住老娘的胸……那里！”梨子伸出双手按住石小白的肩膀，眼里燃烧着火焰。
“因为……本王很好奇！”石小白一本正经地说道。","«Что?» Глаза Грушки раскрывались и она сердито сказала: «Тогда почему ты держишь мою грудь ...... там!» Грушка протянула руки и сжала плечи Ши Сяобэя, ее глаза горели огнем.
«Потому что ...... я любопытствовал!» серьезно сказал Ши Сяобай.","""Что!?"" Глаза Лизы расширились, и она гневно произнесла: ""Тогда почему ты схватил меня за грудь... там!?"" Лиза схватила Ши Сяобая за плечи, и в её глазах горел огонь.
""Потому что... его величество очень любопытен!"" — с полной серьёзностью ответил Ши Сяобай.","
   “Что?!”, - удивленно спросил Лимон, голосом, полным гнева: “А почему ты так сжимаешь мою грудь……там!” Лимон поднял руки и положил их на плечи Стоуну, в его глазах горела ярость. “Потому что… я очень любопытен!”, - ответил Стоун с серьезным видом.  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:00  2022-07-31 02:00:"
103,180,1,"第180章 女尊第一花魁（1）
一室寂静。香炉里升起袅袅轻烟。古色古香的半包围式大床上，镂空的花纹精致繁复，轻纱笼罩。隐约勾勒里面身材曼妙的女子。
了解情况后，喻楚心里喜忧参半。喜的是，这是一个女尊世界，女尊男卑，身为女人的好处不少。忧的是……这次的寄体，在这个世界的风评，也着实太差了点……
她从床上起身，影子映在里间的屏风上，床纱外一室金碧辉煌。
外间侯着的侍从立刻鞠躬，脚步轻轻地走了进来，低着头，紧张的声音带着少年时期的沙哑：“皇女殿下，您要起身么？”
喻楚抬头打量一眼，发现这少年长得不错，眉清目秀，低垂的眉眼很是温顺，一方面有着对自己的惧怕，另一方面，也带着点小心翼翼的讨好。这就是女尊啊。
喻楚暗暗吸了口气，脑中思索着原主平日的性格气质，半靠在床上，懒懒地冲人挥了挥手，“你下去。”
少年愣了下。贵女起床当然需要侍从服侍。身份尊贵的贵女们，身边养几个长相合心的侍从，负责一切事宜。
尤其像三皇女这样……生性放荡的贵女，起床时不仅要人服侍，顺便调戏一下侍从都是常有的事。突然莫名的驱逐，让少年不禁抬了下头，望了床榻上的贵女一眼。
三皇女半躺在床上，微微眯着眼睛，那张极好看的容颜，带着刚刚睡醒不甚清醒的感觉，懒懒的，不知怎么回事，忽然惹得他心里一跳。少年慌忙低头，面色绯红。","Глава 180 - Куртизанка в матриархальное родовое общество(1)
В комнате полна тишина. Из курильницы поднимались струйки легкого дыма. На античной полузакрытой большой кровати узоры тщательными и сложными. Кровать покрыта вуалью. В ней смутно виднелась изящная женская фигура.
После понятия ситуацию, Юй Чу имела сложные чувства. Она была рада, что она сейчас находилась в матриархальном родовом обществе. Женщины уступают мужчинам. Поэтому преимуществ у женщины много. Она беспокоила, что слухи её сущности в этом мире были очень плохие .......
Она встала с кровати. Тень отразилась на ширме во внутренней комнате. Вне пряжи комната сверкала золотистым сиянием и ярким блеском.
Вне комнаты служитель немедленно поклонился и вошел мягкими шагами. Он опустил голову. В его нервном голосе слышалась подростковая хрипотца. Его голова была опущена, нервный голос с хрипотцой подростка: «Ваше Величество, вы собираетесь вставать?»
Юй Чу подняла голову и осмотрелась. Она обнаружила, что это красный подросток с четкими бровями и опущенными бровями. Его глаза были очень кроткими, со страхом перед собой, также с некоторой осторожной укоризной. Это и императрица.
Юй Чу тайно вдохнула и подумала о обычном темпераменте хозяина. Он полулежала на кровати, лениво махнула рукой в сторону служанке: «Спускайся».
Юноша замер. Конечно, когда аристократка встала,они нужны камердинер, чтобы прислуживать ей. Уважаемые аристократки могут иметь некоторые красивые камердинеры, чтобы всё управлять.
Особенно как третья принцесса …, дворянка с распутным характером, не только нуждается в камердинерам, но и часто приставала к ним. Внезапное необъяснимое изгнание заставило подростка не удержаться. Он поднял голову и посмотрел на принцессу на кровати.
Третья принцесса полулежала на кровати и слегка придурила глаза. Это чрезвычайно красивое лицо, с неясным ощущением бессознательно заставило его сердце подпрыгнуть. Молодой человек в панике опустил голову, его лицо побагровело.","Глава 180: Главная куртизанка в мире, где правят женщины (1)

В комнате стояла тишина. Из курильницы поднимались легкие струйки дыма. На сделанной в древнем стиле кровати с ажурными узорами и покрывалом из тонкой ткани едва виднелась изящная фигура женщины.

Поняв ситуацию, Юй Чу испытала смешанные чувства. Радовало то, что это мир, где правят женщины, и быть женщиной здесь приносит много преимуществ. Огорчало то, что её новое воплощение в этом мире имеет весьма дурную репутацию...

Она встала с постели, её тень отражалась на ширме, а за пределами кроватного полога сияла роскошь и великолепие.

Слуга, ждавший снаружи, сразу поклонился и тихими шагами вошёл в комнату, склонив голову. В его напряжённом голосе слышалась подростковая хрипотца: «Ваше Высочество, вы хотите встать?»

Юй Чу бросила на него взгляд и заметила, что юноша выглядит неплохо: лицо интеллигентное, взгляд покорный. На одной стороне была ощутимая боязнь перед ней, а на другой — осторожное желание угодить. Вот она, власть женщин.

Юй Чу глубоко вздохнула, размышляя о характере и привычках прежней владелицы тела. Полусидя на кровати, она лениво махнула рукой: ""Уйди.""

Юноша замер в недоумении. Для знатных девушек подъём с постели подразумевал помощь слуг. У девушек из высшего общества часто было несколько слуг, которых подбирали по красоте, и те занимались всеми делами.

Особенно такие, как третья принцесса... Своевольные девушки обычно не только поднимались с постели с помощью слуг, но и флиртовали с ними. Неожиданное отстранение заставило юношу поднять голову и взглянуть на знатную даму на кровати.

Третья принцесса полулежала на постели, прищурив глаза, её красивое лицо выглядело слегка сонным и немного ленивым, что-то в этом заставило его сердце замереть. Юноша второпях опустил голову, его лицо залилось румянцем.","
  180-й глава. Первая красавица (1)
В комнате было тихо. Из ароматного ладана поднималась легкая дымка. На старинном, полукруглом большом кровати, с ажурной резьбой, лежала легкая ткань. В тени можно было разглядеть фигуру красивой женщины.
После того, как она узнала обстановку, у Юйчу было смешанное чувство. Она была рада, что это мир, где женщины выше мужчин, и что она, будучи женщиной, имеет много преимуществ. Но она была обеспокоена... и тем, что этот раз, в этом мире, ее репутация не слишком хороша...
Она встала с кровати, и ее тень отразилась на стене. В комнате было золотое и серебряное убранство.
Слуги, стоявшие в коридоре, сразу же склонили головы и вошли в комнату, сжав губы и сдавленно говоря: «Великая принцесса, вы хотите встать?»
Юйчу подняла голову и посмотрела на юношу. Он был красив, с чистыми чертами лица и мягкими глазами. Он был смущен и боялся ее, но в его голосе слышалась надежда, что она не будет слишком строга.
Юйчу глубоко вдохнула и подумала о характере и характере ее хозяина. Она расслабилась и легла на кровать, лениво махнула рукой и сказала: «Уходи».
Юноша замер. Он не мог понять, почему принцесса не хочет, чтобы он остался и помог ей. Он посмотрел на нее и увидел, что она лежит на кровати, с полуоткрытыми глазами, и что ее лицо было очень красивым. Он был смущен и краснел от стыда.
Юйчу лежала на кровати, с полуоткрытыми глазами, и смотрела на юношу."
